Period Range: Jan 2021 to Aug 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
ccounting Basis: Accrual,,,,,,,,,,,,,,,,,,,,,,,,,,
evel of Detail: Detail View,,,,,,,,,,,,,,,,,,,,,,,,,,
AgnGLAcN,Oct-20,Nov-20,,Dec-20,,Jan 2021,,Feb 2021,,Mar 2021,,Apr 2021,,May 2021,,Jun 2021,,Jul 2021,,Aug 2021,,Sep-21,,Total,,
Operating Income & Expense,,,,,,,,,,,,,,,,,,,,,,,,,,
RENTAL INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
VACANCIES & ADJUSTMENTS,,350.0,,4835.00,,48.350.0,,48.350.08,,"0,350.0",,,,,,48.350.08,,48.5.8,,48.50.0 ,,,,,,"04,3"
Rent Concession,,0.00,,0.00,,,,"-4,200.00",,0.00,,0.00,,.0.00,,0.00,,,,0.00,,0.00,,-10.00,,"-4,210.00"
Net Gain/Loss to Lease,,,,,,,,,,,,,,,,0.0,,,,00.0,,,,-150.00,,"-7,639.68"
TotaLVACANCIES &ADJUSTMENTS,,"-10,435.00",,"-11,375.00",,"-12,296.62",,"-17,095.00",,"-12,895.00",,"-13,655.00",,"-16,695.00",,"-20,410.00",,"-21,405.00",,"-28,065.00",,"-30,035.00",,"-34,585.00",,"228,946.62"
OTHERINCOME,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Fee,,,,,,0,,,,,,0.00,,0.00,,,,,,,,0.00,,495.00,,495.00
Laundry Income,,,,,,434.5,,,,.0,,,,,,,,,,,,,,,,
Termination Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
Pet Rent,,,,,,,,,,,,,,,,,,,,,,,,,,"1,630.97"
Miscellaneous Income,,,,,,,,5.0,,7.0,,,,0.00,,,,,,,,0.00,,870.00,,0870.00
Total OTHER INCOME,,,,,,595.47,,170.00,,,,170.00,,"1,870.00",,170.00,,140.00,,,,105.00,,"1,435.00",,"7,885.47"
Total Operating Income,,,,,,"28,648.85",,"23,425.00",,,,"26,865.00",,"25,525.00",,"20,110.00",,"19,085.00",,,,"10,420.00",,",305.00",,"263,243.85"
Expens,,,,,,,,,,,,,,,,,,,,,,,,,,
AD &RENTAL EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing/Promotions,,,,258,,0,,,,,,,,0.00,,,,,,,,,,,,2.450.9
,,950,,250,,"1,050.00",,,,,,14.28,,507.37,,0.00,,0.00,,8:.88,,341.65,,"2,69.47",,"2,603.9"
ADMINISTRATIVE EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
Management Fee,,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"1,500.00",,"18,000.00"
Bad Debt Expense,,,,..0,,000,,,,,,,,,,,,50.0,,,,,,,,
Administrative,,,,149.86,,,,,,,,,,189.00,,189.00,,189.00,,,,,,189.00,,"2,111.75"
,,,,"6,000.00",,,,,,,,,,,,,,,,,,,,0.00,,"6,000.00"
Bank Charges Expense,,125,,25,,,,50.00,, 8.00,,,,25.00,,25.00,,25.00,,25.80,,25.00,,,,
Total ADMINISTRATIVE EXPENSE,,"1,747.20",,"7,674.86",,"1,674.29",,"1,728.40",,"1,689.00",,"1,714.00",,"1,714.00",,"1,714.00",,"5,620.36",,"3,414.00",,"1,864.00",,"2,360.17",,"32,914.28"
UTILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
Electricity,,,,,,"1,222.11",,,,,,0.00,,750.70,,,,,,,,0.00,,,,"2,639.58"
Electricity - Vacant,,,,,,,,,,,,,,,,,,,,,,60.0,,,,"2,474.86"
,,,,,,,,,,,,,,,,,,,,,,,,,,"24,554.02"
,,,,,,,,,,,,,,"1,631.38",,,,,,,,,,,,"14,512.83"
Telephone,,,,258.24,,169.41,,,,85.00,,85.00,,81.18,,482.74,,81.24,,,,78.15,,,,"1,154.34"
MAINTENANCE EXPENSES,,5922,,,,,,7.316.00,,"6,740.91",,"6,912.49",,,,"2,116.74",,5.37.5 ,,"1,475.03",,"5,405.10",,"1,424.41",,0.00
Janitorial,,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"2,350.00",,"28,200.00"
,,,,,,,,,,,,,,,,135.00,,,,,,180.00,,,,
HVAC,,,,163.33,,:,,0.00,,0.00,,00.00,,0.00,,,,,,0.00,,8888,,0.00,,163.33
Decorating Tenant,,,,,,,,,,,,150.00,,0.00,,0.00,,,,0.00,,0.00,,0.00,,
CE EXPENSES,,"3,429.86",,,,.60,,"3,464.25",,"2,957.78",,"3,742.92",,"2,574.47",,"2,485.00",,,,"2,609.39",,"2,530.00",,"2,595.26",,
TAXES &INSURANCE,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
Property Tax,,0,,0,,0,,"3,520.00",,"3,520.00",,"3,520.00",,"3,520.00",,"3,520.00",,"3,520.00",,"3,520.00",,"3,520.00",,"16,704.30",,"44,864.30"
Property and Liability Insurance,,"1,971.06",,"1,808.54",,904.27,,904.27,,904.27,,"5,064.27",,904.27,,904.27,,904.26,,904.26,,904.26,,00.00,,"16,078.00"
Total Operating Expense,,"8,731.60",,"17,286.02",,16.0.7,,,,"16,176.92",,"20,967.96",,"17,836.44",,,,"17,927.16",,"11,922.68",,"15,065.01",,"25,694.08",,"190,138.40"
