,,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,,,
,,,,,,,,,Book = Accrual ; Tree = rm_disp_noi,,,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Total
Short Term Rentals,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Parking Revenue,,"1,063.07",,"1,055.82",,"1,079.00",,"1,085.00",,"1,173.00",,"1,205.97",,"1,245.00",,997.01,,982.14,,975.00,,925.00,,923.33,,"12,709.34"
Storage Revenue 1,,520.00,,655.00,,586.33,,650.00,,720.00,,750.00,,715.00,,690.18,,716.13,,690.00,,605.00,,560.99,,"7,858.63"
Residential Fees - Other,,"1,310.00",,"1,280.00",,"1,565.00",,"1,455.00",,"1,190.00",,"1,390.00",,"1,335.00",,"1,350.00",,"1,275.00",,"1,235.00",,"1,170.00",,"1,530.00",,"16,085.00"
Residential Fees - MTM Premium,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Fees - Pet Premium,,"1,408.53",,"2,057.22",,"1,475.64",,"1,438.34",,"1,465.83",,"1,735.49",,"1,062.90",,"1,400.00",,"2,083.88",,"1,533.07",,"1,110.48",,"1,035.83",,"17,807.21"
Total Other Rental Revenue,,"4,301.60",,"5,048.04",,"4,705.97",,"4,628.34",,"4,548.83",,"5,081.46",,"4,357.90",,"4,437.19",,"5,057.15",,"4,433.07",,"3,810.48",,"4,050.15",,"54,460.18"
 Other Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
Rental Revenue - Other,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Damages/Cleaning Fees,,"2,587.60",,988.00,,87.53,,"1,371.22",,"1,121.62",,"2,132.51",,387.00,,"12,652.55",,"2,075.00",,984.73,,"4,925.34",,"1,279.00",,"30,592.10"
Bad Debt - Other Operating Revenue Reserve,,"-1,108.22",,942.36,,309.31,,0.00,,0.00,,0.00,,0.00,,0.00,,"-3,466.80",,"-1,155.60",,"-1,155.60",,"-1,155.60",,"-6,790.15"
Bad Debt - Other Operating Revenue Write Off,,"-2,614.65",,"-2,042.73",,244.16,,-845.64,,-470.00,,"-3,095.96",,-845.46,,"-17,945.71",,-907.64,,-952.75,,-699.10,,"-2,175.83",,"-32,351.31"
Bad Debt - Other Operating Revenue Recoveries,,"1,403.54",,"5,141.99",,0.00,,"1,264.22",,"2,031.13",,"2,646.99",,558.85,,"2,312.60",,606.45,,"1,671.94",,680.95,,364.51,,"18,683.17"
Common Area Facilities Revenue,,0.00,,0.00,,500.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,500.00
Residential Fees - Amenities,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Residential Fees - NSF,,35.00,,350.00,,0.00,,35.00,,70.00,,105.00,,35.00,,35.00,,105.00,,0.00,,105.00,,35.00,,910.00
Residential Fees - Administration,,"3,800.00",,"3,700.00",,"2,100.00",,600.00,,"1,500.00",,"3,100.00",,"1,000.00",,"4,000.00",,"2,250.00",,"2,100.00",,"3,400.00",,"5,600.00",,"33,150.00"
Residential Fees - Application Fee,,"1,575.00",,-525.00,,300.00,,150.00,,375.00,,450.00,,375.00,,300.00,,300.00,,300.00,,375.00,,750.00,,"4,725.00"
After Hours HVAC Revenue,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Communications / Cable Revenue,,0.00,,0.00,,0.00,,"3,702.27",,0.00,,0.00,,0.00,,"3,410.19",,0.00,,0.00,,"3,127.65",,"-3,127.65",,"7,112.46"
Termination Fees / Lease Buyout,,325.00,,250.00,,"3,254.00",,0.00,,"5,120.00",,"1,740.00",,"7,642.00",,0.00,,"7,572.00",,"5,967.00",,"2,750.00",,"4,115.00",,"38,735.00"
Coin-op Laundry,,108.64,,28.90,,0.00,,129.86,,"2,752.29",,80.87,,0.00,,147.40,,"4,431.30",,0.00,,302.78,,0.00,,"7,982.04"
Late Fees,,"4,760.90",,"4,225.96",,"2,116.64",,"2,630.81",,-100.41,,"2,284.30",,"3,266.63",,"3,102.71",,"2,342.50",,"1,378.02",,"1,969.37",,"2,614.26",,"30,591.69"
Other Operating Revenue 1,,-41.12,,"2,550.00",,0.00,,0.00,,"3,205.60",,"3,855.00",,0.00,,"1,020.00",,0.00,,0.00,,765.00,,0.00,,"11,354.48"
 Other Operating Revenue Guest Suites,,"-2,140.00",,"-2,040.00",,"-1,565.00",,"-2,140.00",,"-1,540.00",,-210.00,,"-1,690.00",,207.10,,0.00,,800.00,,550.00,,450.00,,"-9,317.90"
Interest Income (Property Level),,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Total Other Revenue,,"8,691.69",,"13,569.48",,"7,346.64",,"6,897.74",,"14,065.23",,"13,088.71",,"10,729.02",,"9,241.84",,"15,307.81",,"11,093.34",,"17,096.39",,"8,748.69",,"135,876.58"
 Retail Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
 Rental Revenue - Pandemic Impact,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Retail Base Rent,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Retail Vacancy Loss,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Common Area Expense Reimbursement Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 RE Tax Reimbursement Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
RE Insurance Reimbursement Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Storage Revenue Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Other Operating Revenue Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
