,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,
,,,,,,,,,Book = Accrual ; Tree = rm_disp_noi,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Dec 2021,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Total
Residential Fees - Washer / Dryer Rental,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Vending and Other Revenue 2,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Total Laundry Revenue,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Reimbursement Revenue,,,,,,,,,,,,,,,,,,,,,,,,
Trash Reimbursement,,"3,089.82",,"7,174.92",,"-17,202.06",,"30,591.46",,"4,294.14","12,002.03","3,257.75",,"12,004.61",,"3,673.88",,"6,148.47",,"12,354.30",,"11,510.34",,"88,899.66"
Operating Expense Escalation,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Common Area Expense Reimbursement,,0.00,,0.00,,0.00,,-14.00,,0.00,0.00,392.50,,500.00,,560.17,,7.00,,0.00,,"1,885.34",,"3,331.01"
RE Tax Reimbursement 1,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
RE Insurance Reimbursement 1,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Reimbursement - Utility Expense (actual),,"1,005.08",,"1,660.79",,"-3,609.70",,"7,067.80",,"1,126.19","2,073.28","1,476.90",,"2,713.77",,866.53,,"1,308.24",,"2,700.14",,"2,168.38",,"20,557.40"
,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Utility Expense Reimbursement Water/Sewer,,"16,386.04",,"11,763.57",,"-30,411.86",,"35,337.79",,"10,415.75","14,027.01","10,916.90",,"11,887.01",,"6,728.53",,"4,496.69",,"12,974.46",,"9,704.65",,"114,226.54"
Utility Expense Reimbursement Gas,,"2,150.99",,"2,325.25",,"-8,798.95",,"16,992.83",,"3,484.23","6,688.18","2,225.52",,"8,067.92",,"2,223.50",,"4,142.90",,"8,813.05",,"7,607.36",,"55,922.78"
Reimbursement - R&M (Direct),,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Reimbursement - R&M (Indirect),,0.00,,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Building R&M Reimbursement Pest Control,,148.48,,380.48,,"-1,046.99",,"1,962.16",,336.02,823.43,211.87,,790.53,,207.96,,395.19,,695.86,,735.45,,"5,640.44"
