,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,,,
,,,,,,,,,Book = Accrual ; Tree = rm_disp_noi,,,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,, May 2022,,Jun 2022,,Total
Gas & Fuel - Building 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Gas & Fuel - Common Area,,"1,397.21",,917.66,,677.17,,"3,771.47",,244.64,,"3,318.77",,"2,340.37",,"-1,595.12",,"5,105.03",,"4,901.96",,0.69,,"4,170.71",,"23,894.84"
Water & Sewer - Building 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Water & Sewer - Common Area,,"10,142.48",,"8,635.72",,"-7,319.37",,"35,478.17",,"7,482.77",,"11,369.65",,"7,367.84",,"8,284.00",,"12,372.60",,"2,316.05",,"22,945.13",,"13,073.44",,"132,148.48"
Chilled Water - Building,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Steam - Building,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Telephone 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Cable / Internet Services,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,101.98,,"1,223.76"
 Other Utility 1,,"1,259.59",,"1,170.16",,0.00,,"1,200.77",,"2,152.45",,"1,572.29",,717.38,,"2,368.56",,0.00,,"1,278.27",,"1,227.67",,"1,234.88",,"14,182.02"
Electricity - NonRecoverable 1,,"1,025.43",,"1,220.55",,570.54,,"2,962.58",,308.10,,"1,961.25",,179.67,,25.85,,"2,029.43",,192.57,,-197.68,,"2,392.00",,"11,529.21"
Gas & Fuel - NonRecoverable 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Water & Sewer - NonRecoverable 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Total Utilities,,"20,197.30",,"20,938.35",,"-10,975.84",,"71,336.19",,"17,677.18",,"28,147.13",,"19,809.40",,"13,242.47",,"34,940.27",,"16,998.75",,"33,624.40",,"32,738.38",,"298,673.98"
Turnover Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Ready Expenses,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Tenant Moving Allowances,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Other Turnover Expenses,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Unit Cleaning,,736.25,,"8,903.38",,"3,750.00",,"1,937.96",,"-5,466.44",,"1,122.71",,-300.00,,840.00,,0.00,,"2,415.00",,505.00,,650.00,,"15,093.86"
 Unit Painting,,"13,571.27",,"10,578.31",,"1,303.08",,"9,708.96",,"1,514.83",,"9,562.27",,"1,176.27",,"3,593.10",,"7,003.02",,"5,341.49",,"4,020.99",,"4,616.30",,"71,989.89"
Carpet Cleaning and Repair,,129.90,,135.31,,281.45,,0.00,,0.00,,723.88,,89.91,,339.02,,0.00,,0.00,,0.00,,707.11,,"2,226.76"
Cleaning Supplies,,"1,007.43",,"1,933.83",,395.50,,"2,954.61",,"2,311.03",,348.06,,279.17,,"1,800.79",,"1,073.91",,"1,324.48",,"1,176.57",,"1,137.06",,"15,742.44"
 Total Turnover Expenses,,"15,444.85",,"21,550.83",,"5,730.03",,"14,601.53",,"-1,640.58",,"11,756.92",,"1,065.53",,"6,572.91",,"8,076.93",,"9,080.97",,"5,702.56",,"7,110.47",,"105,052.95"
Contracted Services,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire / Life Safety Contract,,195.36,,195.36,,0.00,,390.72,,195.36,,195.36,,195.36,,445.36,,195.36,,195.36,,195.36,,320.80,,"2,719.76"
