,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Jul 2021-Jun 2022,,,,,,,,,,,,,,,,
,,,,,,,,,,Book= Accrual;Tree=rm_disp_noi,,,,,,,,,,,,,,,,
,,Jul 2021,,Aug 2021,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Jan 2022,,Feb 2022,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Total
Administration Fees - CBRE GIA,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Total Management Fees,,"10,750.00",,"12,183.29",,0.00,,"26,369.14",,"12,321.92",,"11,164.40",,"10,750.00",,"11,280.83",,"12,034.35",,"13,060.71",,"11,417.48",,"11,557.70",,"142,889.82"
 Ground Lease,,,,,,,,,,,,,,,,,,,,,,,,,,
Ground Lease Expense 1,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Total Ground Lease,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,
RE Insurance - Property / Taxes,,"21,918.84",,"21,918.84",,0.00,,"50,556.56",,"25,278.28",,"25,278.28",,"25,278.28",,"25,278.28",,"25,278.28",,"25,278.28",,"25,278.28",,"25,278.28",,"296,620.48"
RE Insurance - Liability,,"1,023.37",,"1,023.37",,0.00,,"2,145.02",,"1,072.51",,"1,072.51",,"1,072.51",,"1,072.51",,"1,072.51",,"1,072.51",,"1,072.51",,"1,072.51",,"12,771.84"
RE Insurance - Excess Liability,,586.79,,586.79,,0.00,,"1,236.60",,618.30,,618.30,,618.30,,618.30,,618.30,,618.30,,618.30,,618.30,,"7,356.58"
RE Insurance - DIC (Earthquake/Flood/Wind),,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
RE Insurance - Terrorism,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
RE Insurance - Pollution,,43.66,,43.66,,0.00,,87.32,,43.66,,43.66,,43.66,,43.66,,43.66,,43.66,,43.66,,43.66,,523.92
RE Insurance - Other 1,,"1,552.50",,"1,552.50",,0.00,,"3,105.00",,"1,552.50",,"1,552.50",,"1,552.50",,"1,552.50",,"1,552.50",,"1,552.50",,0.00,,"1,333.08",,"16,858.08"
 Total Insurance,,"25,125.16",,"25,125.16",,0.00,,"57,130.50",,"28,565.25",,"28,565.25",,"28,565.25",,"28,565.25",,"28,565.25",,"28,565.25",,"27,012.75",,"28,345.83",,"334,130.90"
Real Estate & Property Tax,,,,,,,,,,,,,,,,,,,,,,,,,,
 Real Estate Taxes,,"126,500.33",,"126,500.33",,0.00,,"253,000.66",,"126,500.33",,"126,500.33",,"133,162.92",,337.44,,"133,162.92",,"133,162.92",,"133,162.92",,"133,162.92",,"1,425,154.02"
Real Estate Tax Advisory / Consulting Fees,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,"4,500.00",,0.00,,500.00,,"5,000.00"
Real Estate Taxes - Other 1,,847.00,,"9,175.45",,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,"10,022.45"
Personal Property Taxes / Business Licences,,"2,750.00",,"2,750.00",,0.00,,"5,500.00",,"2,750.00",,"2,750.00",,"2,593.63",,"-30,406.37",,"2,593.63",,"2,593.63",,"35,593.63",,"2,593.63",,"32,061.78"
Total Real Estate & Property Tax,,"130,097.33",,"138,425.78",,0.00,,"258,500.66",,"129,250.33",,"129,250.33",,"135,756.55",,"-30,068.93",,"135,756.55",,"140,256.55",,"168,756.55",,"136,256.55",,"1,472,238.25"
Retail Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Building R&M - Retail Cleaning/Repairs,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
 Other Utility Retail,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Total Retail Expenses,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
Total Non-Controllable Expenses,,"165,972.49",,"175,734.23",,0.00,,"342,000.30",,"170,137.50",,"168,979.98",,"175,071.80",,"9,777.15",,"176,356.15",,"181,882.51",,"207,186.78",,"176,160.08",,"1,949,258.97"
Total Controllable and Non-Controllable Expenses,,"388,553.07",,"268,407.61",,"51,620.48",,"589,106.74",,"291,745.30",,"304,372.67",,"260,699.21",,"123,041.99",,"310,924.14",,"318,875.00",,"334,003.25",,"341,624.64",,"3,582,974.10"
Net Operating Income (Loss),,"68,182.08",,"199,427.46",,"346,426.77",,"-48,601.75",,"186,956.74",,"190,878.18",,"214,346.09",,"299,735.37",,"149,570.36",,"145,655.02",,"156,559.97",,"132,084.73",,"2,041,221.02"
