,,,,,,,,,Unit Statistics,,,,,,,,,,,
,,,,,,,,, SAMPLE ASSET ABC,,,,,,,,,,,
,,,,,,,,,,As Of = 07/11/2022,,,,,,,,,,
Unit Type,,Total Units,Occupancy Rate,Total SqFt,Occupied SqFt,,,Avg Market Rent,Avg Occupied Rent,,,Total Market Rent[,Occupied Market Rent,,,,,Loss/Gain,Model|,Down
1x1 (701a10a),,72.00,,88.88,,"38,208[",,"1,596.74",,"1,499.70",,"114,965.00",,"102,245.00[",,"95,981.26[",,"6,263.74",,
1x1 (701a10b),,2.00[,,50.0[,,667,,"1,585.00",,"1,504.45",,",170.00",,"1,605.0",,"1,504.45[",,10055,,
1x1 (701a10c),,3.01,,,,"1,6",,"1,645.0",,"1,702.8",,"4,935.00",,"3,310.00[",,"3,657.00",,-347.00,,
1x1 (701a10d),,54.00,,,,"33,71[",,"1,715.09",,,,"92,615.00",,"87,485.00",,"86,844.68",,640.32,,
1x1 (701a10e),,5.00|,,,,"2,784[",,"1,686.00",,"1,15.0[",,"8,430.00",,"6,740.00",,"4,636.00",,"2,104.00",,
1x1 (701a10f),,55.00,,,,,,"1,766.09",,"1,617.52",,"97,135.00[",,"86,635.00[",,"79,258.70[",,"7,376.30",,
1x1 (701a10h),,,~,100.0,,,,"1,865.00",,"1,631.66",,"11, 190.00",,"11,19.00",,"9,790.00[",,,,I.......
,,,,,,,,,,,,,,,,,,,,
2x2 (701b20f),,6.00,,66.66|,7.092,4.728[,,"2,720.83",,"2,612.25",,"16,325.00[",,"10,875.00[",,"10,449.00",,426.00,,-
2x2 (701b20h),,23.00|,,91.30[,,"26,502",,"2,846.96",,"2,370.70",,"65,480.00",,"59,950.00",,"49,784.84",,"10, 16.16",,--
,,281,251|,,,,,,,,,,,,,,,,16,o
