Physical Occupancy,,Occupied,,Occup.%,,Vacant %,,Total,,Rental Rates,,,,Occupied,,$/SqFt,,Percent,,,,Vacant,,$/SqFt,,Total $/SqFt Total %,,
Square Footage,,"199,351",,89.12,,"24,329",10.87,"223,680",,Market Rent,,,,"485,760.00",,2.43,,,,89.29,,"58,250.00",,2.39,,"10.70 544,010.00",,100.00/
Unit Count,,251,,89.32,,30,10.67,281|,,Occupied Rent,,,,"449,366.70",,2.25,,,,82.60,,"58,250.00",,2.39,,"10.70 507,616.70",,93.31
,,,,,,,,,,Loss To Lease,,,,"36,393.30",,0.18,,,,6.68,,,,,,,,
Exposure to Vacancy,,,,Units,,Percent,, Make Ready Status,,,,Units,,Percent,,Residential Activity,,,,,,,,Month-to-Date,,,,
Less Vacant Rented,,,,-13,,4.62,,Ready to Rent,,,,R=,,36.66,,Reverse Move Ins,,,,,,,,,,,,
Less Notice Rented,,,,-11,,3.91,,Not Ready to Rent,,,,16,,53.33,,Move Outs,,,,,,,,,,,,
Less Non Revenue,,,,-3,,1.06,,Non Revenue,,,,,,10.00,,Cancel Move Outs,,,,,,,,,,,,
Plus All Notices,,,,22,,7.82,,,,,,,,,,Renewals,,,,,,,,,,,,
Net Exposure to Vacancy,,,,,,8.89,,,,,,,,,,Skips/Notices/Early Term,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Evictions,,,,,,,,,,,,
