,,,,As of Date: 06/30/2022,,,,,,,,,,,,
Tenant,,Lease To,,Deposit,Y/N,Date,,PSF,,Amount,,Begin,,,,End
Nuclear Cardiology,,07/31/29,,"$34.71 $0.00 44,800.00",,"$12,781.75",,$2.97,,0.00,,07/31/29,,,,
,,,,,,"$13,132.92",,$3.05,,0.00,,07/31/29,,,,
,,,,,,"$13,494.83",,$3.14,,0.00,,07/31/29,,,,
,,,,,,"$13,863.92",,$3.22,,34.20,,07/31/29,,,,
,,,,,,"$14,247.33",,$3.31,,,,,,,,
,,,,,,"$14,637.92",,$3.40,,,,,,,,
,,,,,,"$15,039.25",,$3.50,,,,,,,,
PLLC,,05/31/30,,$2.94 $35.26 $0.00 0.00,Y,"$27,637.45",,$3.02,,0.00,,05/31/30,,,,
,,,,,,"$28,392.66",,$3.10,,0.00,,05/31/30,,,,
,,,,,,"$29,170.75",,$3.19,,0.00,,05/31/30,,,,
,,,,,,"$29,979.35",,$3.27,,74.43,,05/31/30,,,,
,,,,,,"$30,803.21",,$3.36,,,,,,,,
,,,,,,"$31,649.96",,$3.46,,,,,,,,
,,,,,,"$32,519.59",,$3.55,,,,,,,,
,,,,,,"$33,412.10",,$3.65,,,,,,,,
12/31/22,,10/01/14 -,,$3.36$40.32 $0.00 0.00,,"$43,737.47",,$3.44,,0.00,,12/31/22,,,,
,,,,,,,,,,"3,102.69",,12/31/22,,,,
,,,,,,,,,,690.40,,12/31/22,,,,
"ICF Consulting Group, Inc",,12/31/22,,$3.07 $36.84 $0.00 0.00,N,,,,,0.00,,12/31/22,,,,
,,,,,,,,,,164.57,,12/31/22,,,,
,,,,,,,,,,106.15,,12/31/22,,,,
00300,,11/01/12 -,,$3.64 $43.71 $0.00 0.00,N,"$45,878.23",,$3.73,,0.00,,12/31/22,,,,
,,,,,,,,,,"3,000.08",,12/31/22,,,,
,,,,,,,,,,667.57,,12/31/22,,,,
00120,,07/15/12 -,,$3.64 $43.71 $0.00 0.00,N,"$5,697.44",,$3.73,,375.45,,12/31/22,,,,
,,,,,,,,,,83.54,,12/31/22,,,,
"ICF Consulting Group, Inc",,12/31/22,,$3.64 $43.71 $0.00 0.00,N,"$32,442.66",,$3.73,,0.00,,12/31/22,,,,
,,,,,,,,,,"2,096.15",,12/31/22,,,,
,,,,,,,,,,466.43,,12/31/22,,,,
00800,,12/31/22,,"50,016 $240,027.36 $4.80 $57.59 $0.00 0.00",N,"$246,028.05 $4.92",,,,0.00,,12/31/22,,,,
,,,,,,,,,,"12,306.50",,12/31/22,,,,
,,,,,,,,,,"2,738.39",,12/31/22,,,,
"00110, 00130,",,04/01/10 -,,"39,298 $132,040.51 $3.36 $40.32 $0.00 0.00",N,07/01/22,,,,0.00,,12/31/22,,,,
"00140,00500,",,12/31/22,,,,"$135,341.53$3.44",,,,,,,,,,
