Entity_Name,code,acc,desc,txnType,nature,toReport
Tata Steel Limited,1000,307032,TDS Professional,Vendor - TDS,Payable,No
Tata Steel Limited,1000,307035,TDS Rent,Vendor - TDS,Payable,No
Tata Steel Limited,1000,1013004,CWIP - TGS TRANSFER,Provisions (Expense),Payable,Yes
Tata Steel Limited,1000,1060004,Capital Advance - Services - Domestic,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1060006,Capital Advance Supply (Jsr) - Domestic,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1060007,Capital Advance Supply (Jsr) - Imports,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1196001,Raw Materials In Transit Foreign,Vendor Balance,Payable,Yes
Tata Steel Limited,1000,1196013,Gr/Ir - Captive Sources for Raw Matl,Vendor - GRIR,Payable,Yes
Tata Steel Limited,1000,1221001,SUNDRY DEBTORS  STEEL,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221005,SUNDRY DEBTORS  STEEL-Rct after discounting,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221009,S/DRS FOR OTHER SERVICES,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221010,S/DRS ADJUSTMENT ACCOUNT,Provisions (Income),Receivable,Yes
Tata Steel Limited,1000,1221025,SUNDRY DEBTORS  SHARED SERVICES,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221027,Scrap Debtors A/C,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221028,SUNDRY DEBTORS  TOWN DEBTORS,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221029,Debtors for Slag & Coal Tar,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221033,SUNDRY DEBTORS DISCOUNTING  - FLDG,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1221036,SUNDRY DEBTORS - TOWN (RELATED PARTY),Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222024,DEBTORS FOR RAW MATERIALS - NOAMUNDI,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222045,DEBTORS FOR RAW MATERIALS - FAP,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222065,Debtors - Sale Of By Products - West Bokaro,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222087,Debtors For  Services Provided Abroad,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222090,Debtors - Service & Solutions,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1222091,DEBTORS FOR SALE OF SERVICES - TKM,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1224001,Sundry Debtors - Bearings,Customer Balance,Receivable,Yes
Tata Steel Limited,1000,1250001,DEPOSIT WITH  PUBLIC BODIES,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1250141,DEPOSITS WITH OTHER THAN PUB BOD - JSR,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1250291,IGST Stock Transfer - Internal Vendor,Vendor Balance,Payable,Yes
Tata Steel Limited,1000,1250303,TDS deducted on CGST by the deductors,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1250304,TDS deducted on SGST by the deductors,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1250305,TDS deducted on IGST by the deductors,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1252001,OTHER ADVANCE,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1252006,INTERCORPORATE CALL / STD WITH COMPANIES,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1252007,SHAREHOLDERS' LOAN TO ASSOCIATE COMPANI,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1252008,Intercorporate Deposits-Non Current,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1252028,ADVANCES-TDS/TCS (PENDING CERTIFICATES),Customer - TDS,Receivable,No
Tata Steel Limited,1000,1253002,Advance To Local Suppliers For Services (Sap),Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1253003,Revenue Advance Indegenious (Sap),Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1253005,Advance To ISWP,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1253006,Advance to JUSCO,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1253008,Advance To Local Suppliers Rev - Jamshedpur (GL),Advance from customers,Payable,Yes
Tata Steel Limited,1000,1254001,ADVANCE TO SUBSIDIARIES,Advance to suppliers,Payable,Yes
Tata Steel Limited,1000,1256003,APP. MNY. RTS/PUB/ISSUE - SHARES/ DEBENT,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256004,ADJUSTMENTS [ DEBITS],HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256025,ICD with Subsidiary Companies,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256028,SHAREHOLDERS LOAN TO TATA KZN,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256030,Interest Income Receivable,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256031,SHAREHOLDERS LOAN TO TATASTEEL HOLDINGS,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1256034,Other Receivables-Current Other FA,HO Balance,Corporate,Yes
Tata Steel Limited,1000,1257007,TDS. -RENT RECEIVED,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257012,TDS-Income recd F Year 2005-06,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257051,TDS received for FY 2005-06,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257055,TDS/TCS Receivable F.Y.2009-10,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257056,TDS/TCS Receivable F.Y.2010-11,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257059,TDS/TCS F.Y.2011-12,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257064,TDS/TCS Receivable F.Y.2006-07,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257065,TDS/TCS Receivable F.Y.2007-08,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257066,TDS/TCS Receivable F.Y.2008-09,Customer - TDS,Receivable,No
Tata Steel Limited,1000,1257079,TDS/TCS Receivable F.Y.2012-13,Customer - TDS,Receivable,No
