companyCode,companyName,sapDocNo,reference,sapDocType,bussinessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,InvSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalInd,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata BlueScope Steel Ltd,100058209,,AB,1109,2019,4,7/31/2019,7/31/2019,463358.86,463358.86,INR,463358.86,INR,0,0,463358.86,0,0,312193,Tata Steel Limited ( Kalinganagar),,SI1904100019,,2316,,4700069343/172,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100058463,7/31/2019,8/1/2019,4:43:44 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,100082045,,AB,1101,2019,5,8/31/2019,8/31/2019,74051,74051,INR,74051,INR,0,0,74051,0,0,318999,Tata Steel Limited,,Short Payment Aug 19,,100082045,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,9/2/2019,8:27:51 AM,0,0,,,3
1000,Tata BlueScope Steel Ltd,100075998,,AB,1101,2019,5,8/26/2019,8/26/2019,-6259900,-6259900,INR,-6259900,INR,0,0,-6259900,0,0,309728,Tata Steel Ltd - Growth Shop,,,,100075998,,,,110000,Customer - Domestic,310300,Customer - Advance against Sale,,310300,Customer - Advance against Sale,0,17,H,,,100075998,8/26/2019,8/26/2019,5:45:08 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,113598,95004888,RV,1109,2019,12,3/3/2020,3/3/2020,444919,377050,INR,444919,INR,0,67869,377050,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2525,,SI1904100055,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,,,3/3/2020,2:16:00 PM,0,0,,0,1
1000,Tata BlueScope Steel Ltd,113643,95004889,RV,1109,2019,12,3/5/2020,3/5/2020,570730.6,483670,INR,570730.6,INR,0,87060.6,483670,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2525,,SI1904100056,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,,,3/5/2020,6:37:00 PM,0,0,,0,1
1000,Tata BlueScope Steel Ltd,1400006405,,DZ,1106,2019,6,9/30/2019,9/30/2019,-5496781.8,-5496781.8,INR,-5496781.8,INR,0,0,-5496781.8,0,0,305576,Tata Steel Ltd.,,IL36701909309640|HDFCR52019093,IL36701909309640|HDFCR520,1400006405,,,Receipt,310300,Customer - Advance against Sale,101105,Stanchart- Clearing Pune,,101105,Stanchart- Clearing Pune,0,19,H,A,,100122444,9/30/2019,10/1/2019,10:16:03 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,100882,SI1904100005,RV,1109,2019,1,4/26/2019,4/26/2019,651626.68,552226,INR,651626.68,INR,0,99400.68,552226,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,4/30/2019,4/26/2019,6:30:04 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,100057890,,AB,1109,2019,4,7/31/2019,7/31/2019,7696,7696,INR,7696,INR,0,0,7696,0,0,312193,Tata Steel Limited ( Kalinganagar),,TDS SI1904100016,,2316,,4700069343/172,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100173563,11/30/2019,7/31/2019,2:55:48 PM,0,0,,,4
1000,Tata BlueScope Steel Ltd,100078765,,AB,1108,2019,5,8/29/2019,8/29/2019,-210068.32,-210068.32,INR,-210068.32,INR,0,0,-210068.32,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,100078765,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100078765,8/29/2019,8/29/2019,4:52:05 PM,0,0,,,8
1000,Tata BlueScope Steel Ltd,1400003713,,DZ,1106,2019,4,7/8/2019,7/8/2019,-844942.76,-844942.76,INR,-844942.76,INR,0,0,-844942.76,0,0,305576,Tata Steel Ltd.,,IL36701907081828|HDFCR52019070,IL36701907081828|HDFCR520,1400003713,,,Receipt,310300,Customer - Advance against Sale,101105,Stanchart- Clearing Pune,,101105,Stanchart- Clearing Pune,0,19,H,A,,100057905,7/31/2019,7/10/2019,6:32:35 AM,0,0,,,2
