companyCode,companyName,sapDocNo,reference,sapDocType,businessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,invSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalIndicator,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata Steel Limited,42009213,"DD NO-007452,",KG,9500,2020,3,6/24/2019,6/24/2019,"2,000.00","1,694.91",INR,"2,000.00",INR,"2,000.00",305.09,"1,694.91",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,"Gate pass penalty, DD no -007452, IDBI",gatepass penalty,42009213,,,,2408402,Vendor Reconciliation Account - Domestic,3263001,Miscellaneous Income Jsr,,3263001,Miscellaneous Income Jsr,0,21,S,,,91510334,24-06-2019,24-06-2019,4:52:22 PM,0.00,"2,000.00",,,1
1000,Tata Steel Limited,42034968,GST/TSK/DN/235,KG,9600,2020,5,8/1/2019,8/23/2019,"8,673.00","7,350.00",INR,"8,673.00",INR,"8,673.00","1,323.00","7,350.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Hiring of Equipments,3800014331,42034968,,,,2408402,Vendor Reconciliation Account - Domestic,3263001,Miscellaneous Income Jsr,,3263001,Miscellaneous Income Jsr,0,21,S,,,,,23-08-2019,12:43:29 PM,0.00,"8,673.00",,,1
1000,Tata Steel Limited,42035904,DD NO -007588,KG,9500,2020,6,9/11/2019,9/11/2019,800.00,677.97,INR,800.00,INR,800.00,122.03,677.97,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,"Gate pass penaty , T040",Gate pass Penalty,42035904,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,92076426,11/9/2019,11/9/2019,12:53:10 PM,0.00,800.00,,,1
1000,Tata Steel Limited,42035915,DD 007588,KG,9500,2020,6,9/11/2019,9/12/2019,800.00,677.97,INR,800.00,INR,800.00,122.03,677.97,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,DOC TO DELETE,Gatepass penalty,42035915,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,,,12/9/2019,9:21:32 AM,0.00,800.00,,,1
1000,Tata Steel Limited,42041185,GATEPASS/RFID,KG,9600,2020,10,1/30/2020,1/30/2020,"1,100.00",932.20,INR,"1,100.00",INR,"1,100.00",167.80,932.20,0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Gatepass/RFID Recovery from Vendor,Gatepas Penalty,42041185,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,92978106,30-01-2020,30-01-2020,9:15:37 AM,0.00,"1,100.00",,,1
1000,Tata Steel Limited,42041545,DD NO-186797,KG,9500,2020,11,2/7/2020,2/7/2020,400.00,338.98,INR,400.00,INR,400.00,61.02,338.98,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,UNION BANK DT 07.02.2019,Gate pass Penalty,42041545,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,93046164,7/2/2020,7/2/2020,3:46:49 PM,0.00,400.00,,,1
1000,Tata Steel Limited,42041546,DD NO-186798,KG,9500,2020,11,2/7/2020,2/7/2020,200.00,169.49,INR,200.00,INR,200.00,30.51,169.49,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,UNION BANK DT 07.02.2019,Gate pass Penalty,42041546,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,93046166,7/2/2020,7/2/2020,3:49:59 PM,0.00,200.00,,,1
1000,Tata Steel Limited,44234301,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"26,922.00","26,922.00",INR,"26,922.00",INR,0.00,0.00,"26,922.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,7/4/2020,4:14:04 PM,0.00,"26,922.00",,,2
1000,Tata Steel Limited,44234301,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"-26,922.00","-26,922.00",INR,"-26,922.00",INR,0.00,0.00,"-26,922.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234301,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,7/4/2020,4:14:04 PM,0.00,"-26,922.00",,,3
1000,Tata Steel Limited,44234302,TDS ON PROVISION,KR,9000,2020,12,31-03-2020,31-03-2020,"-64,706.00","-64,706.00",INR,"-64,706.00",INR,0.00,0.00,"-64,706.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234302,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,7/4/2020,4:14:06 PM,0.00,"-64,706.00",,,3
