companyName,vendorCustomerCode,type,reconSet,reconEntity
Tata Steel Limited,11470,Payable,TSL - TRF LTD,TSL - TRF LTD
Tata Steel Limited,14440,Payable,TSL - TMILL,TSL - TMILL
Tata Steel Limited,16030,Payable,TSL - ISWP,TSL - ISWP
Tata Steel Limited,16037,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16045,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16145,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16340,Payable,TSL - ISWP,TSL - ISWP
Tata Steel Limited,16385,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16485,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16625,Payable,TSL - JCAPCPL,TSL - JCAPCPL
Tata Steel Limited,16640,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,16705,Payable,TSL - TSIL,TSL - TSIL
Tata Steel Limited,17035,Payable,TSL - TSPDL,TSL - TSPDL
Tata Steel Limited,17241,Payable,TSL - ISWP,TSL - ISWP
Tata Steel Limited,81335,Payable,TSL - TPL,TSL - TPL
Tata Steel Limited,81760,Payable,TSL - TPL,TSL - TPL
Tata Steel Limited,101823,Receivable,TPL - TSL,TSL - TPL
Tata Steel Limited,101824,Receivable,TRF LTD - TSL,TSL - TRF LTD
Tata Steel Limited,101834,Receivable,ISWP - TSL,TSL - ISWP
Tata Steel Limited,111393,Receivable,TRF LTD - TSL,TSL - TRF LTD
Tata Steel Limited,111395,Receivable,TPL - TSL,TSL - TPL
Tata Steel Limited,111399,Receivable,TML - TSL,TSL - TML
Tata Steel Limited,111399,Receivable,TML - TSL,TSL - TML
Tata Steel Limited,111400,Receivable,TSIL - TSL,TSL - TSIL
Tata Steel Limited,111402,Receivable,TSPDL - TSL,TSL - TSPDL
Tata Steel Limited,111403,Receivable,TCIL - TSL,TSL - TCIL
Tata Steel Limited,121416,Receivable,MJUNCTION - TSL,TSL - MJUNCTION
Tata Steel Limited,122004,Receivable,TMILL - TSL,TSL - TMILL
Tata Steel Limited,124301,Receivable,TCIL - TSL,TSL - TCIL
Tata Steel Limited,124309,Receivable,TRF LTD - TSL,TSL - TRF LTD
Tata Steel Limited,125552,Receivable,JUSCO - TSL,TSL - JUSCO
Tata Steel Limited,127911,Receivable,TSIL - TSL,TSL - TSIL
Tata Steel Limited,127918,Receivable,JUSCO - TSL,TSL - JUSCO
Tata Steel Limited,130023,Receivable,JUSCO - TSL,TSL - JUSCO
Tata Steel Limited,130043,Receivable,TRF LTD - TSL,TSL - TRF LTD
Tata Steel Limited,130564,Receivable,TML - TSL,TSL - TML
Tata Steel Limited,136006,Receivable,TATA BLUESCOPE - TSL,TSL - TATA BLUESCOPE
Tata Steel Limited,136801,Receivable,TML - TSL,TSL - TML
Tata Steel Limited,137623,Receivable,ISWP - TSL,TSL - ISWP
