Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line,
1000,Tata BlueScope Steel Ltd,100008,CI1901100002,RV,1101,2,2019,1,03/04/2019,03/04/2019,"5,36,187.32 ",INR,536187.32,INR,0,81791.28,454396.04,0,0,318999,Tata Steel Limited,,,,100008,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100005246,30/04/2019,03/04/2019,0.652488425925926,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100172,SI1904100001,RV,1109,12,2019,1,10/04/2019,10/04/2019,"1,87,065.11 ",INR,187065.11,INR,0,28535.36,158529.75,0,0,318420,Tata Steel Limited - LD1 Fire Servi,,,,2391,,3800014533/109,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100004403,28/04/2019,10/04/2019,0.537488425925926,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100229,CI1901100061,RV,1108,13,2019,1,11/04/2019,11/04/2019,"18,90,797.05 ",INR,1890797.05,INR,0,"2,88,426.68 ",1602370.37,0,0,306263,Tata Steel limited ( CRC ),,,,57783,,2100556473/814,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100004318,28/04/2019,11/04/2019,0.462407407407407,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100289,CI1901100072,RV,1108,15,2019,1,12/04/2019,12/04/2019,"29,77,742.67 ",INR,2977742.67,INR,0,"4,54,231.92 ",2523510.75,0,0,306263,Tata Steel limited ( CRC ),,,,57783,,2100556473/814,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100004318,28/04/2019,12/04/2019,0.545023148148148,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100511,CI1904100261,RV,1109,19,2019,1,17/04/2019,17/04/2019,"23,54,996.80 ",INR,2354996.8,INR,0,"3,59,236.80 ",1995760,0,0,305576,Tata Steel Ltd.,,,,57637,,4404331996,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100004317,28/04/2019,17/04/2019,0.754247685185185,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100613,SI1904100003,RV,1109,23,2019,1,19/04/2019,19/04/2019,"2,41,003.20 ",INR,241003.2,INR,0,36763.2,204240,0,0,304431,Tata Steel Limited (Tubes Division),,,,2247,,4700066177/554,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100004316,28/04/2019,19/04/2019,0.729513888888889,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100882,SI1904100005,RV,1109,27,2019,1,26/04/2019,26/04/2019,"6,51,626.68 ",INR,"6,51,626.68 ",INR,0,99400.68,"5,52,226.00 ",0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,26/04/2019,0.77087962962963,0,0,,,1,
1000,Tata BlueScope Steel Ltd,100919,CI1904100505,RV,1109,28,2019,1,27/04/2019,27/04/2019,"13,01,599.00 ",INR,1301599,INR,0,"1,98,549.00 ",1103050,0,0,305576,Tata Steel Ltd.,,,,58180,,4404444838/902,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100004317,28/04/2019,27/04/2019,0.660150462962963,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101042,SI1904100006,RV,1109,59,2019,1,29/04/2019,29/04/2019,"2,12,211.20 ",INR,"2,12,211.20 ",INR,0,32371.2,"1,79,840.00 ",0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,29/04/2019,0.605127314814815,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101052,SI1904100007,RV,1109,60,2019,1,29/04/2019,29/04/2019,"3,09,431.40 ",INR,"3,09,431.40 ",INR,0,47201.4,"2,62,230.00 ",0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,29/04/2019,0.699560185185185,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101081,CI1904100570,RV,1109,61,2019,1,29/04/2019,29/04/2019,"4,64,802.00 ",INR,464802,INR,0,70902,393900,0,0,305576,Tata Steel Ltd.,,,,58234,,4404452217/902,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100005090,30/04/2019,29/04/2019,0.891689814814815,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101077,SI1904100008,RV,1109,62,2019,1,29/04/2019,29/04/2019,"4,22,145.00 ",INR,"4,22,145.00 ",INR,0,64395,"3,57,750.00 ",0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2316,,4700069343/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,29/04/2019,0.822824074074074,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101094,SI1901100005,RV,1108,85,2019,1,30/04/2019,30/04/2019,"3,32,796.58 ",INR,332796.58,INR,0,50765.58,282031,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,2346,,4700070596/172,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100005107,30/04/2019,30/04/2019,0.48849537037037,0,0,,,1,
