Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line
1000,Tata Steel Limited,52001308,CI0004107075LD,RA,9600,DNOT,2020,1,27/01/2019,30/04/2019,"45,533.90",INR,"45,533.90",INR,"45,533.90","6,945.85","38,588.05",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,*LD deducted against IV No. 5106145399 @ 4%,2300049475,52001308,,2300049475,,2408402,Vendor Reconciliation Account - Domestic,5149102,Price Difference Account - Capital (PS)-PRD,5149121,5149121,Purchase of Capital goods-Project System,0,21,S,,,45039858,10-05-2019,30-04-2019,12:44:46,0.00,"45,533.90",,,1
1000,Tata Steel Limited,42009213,"DD NO-007452,",KG,9500,TSER,2020,3,24/06/2019,24/06/2019,"2,000.00",INR,"2,000.00",INR,"2,000.00",305.09,"1,694.91",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,"Gate pass penalty, DD no -007452, IDBI",gatepass penalty,42009213,,,,2408402,Vendor Reconciliation Account - Domestic,3263001,Miscellaneous Income Jsr,,3263001,Miscellaneous Income Jsr,0,21,S,,,91510334,24-06-2019,24-06-2019,16:52:22,0.00,"2,000.00",,,1
1000,Tata Steel Limited,42034968,GST/TSK/DN/235,KG,9600,KSER,2020,5,01/08/2019,23/08/2019,"8,673.00",INR,"8,673.00",INR,"8,673.00","1,323.00","7,350.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Hiring of Equipments,3800014331,42034968,,,,2408402,Vendor Reconciliation Account - Domestic,3263001,Miscellaneous Income Jsr,,3263001,Miscellaneous Income Jsr,0,21,S,,,,,23-08-2019,12:43:29,0.00,"8,673.00",,,1
1000,Tata Steel Limited,42035904,DD NO -007588,KG,9500,TSER,2020,6,11/09/2019,11/09/2019,800.00,INR,800.00,INR,800.00,122.03,677.97,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,"Gate pass penaty , T040",Gate pass Penalty,42035904,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,92076426,11-09-2019,11-09-2019,12:53:10,0.00,800.00,,,1
1000,Tata Steel Limited,42035915,DD 007588,KG,9500,TCSH,2020,6,11/09/2019,12/09/2019,800.00,INR,800.00,INR,800.00,122.03,677.97,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,DOC TO DELETE,Gatepass penalty,42035915,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,,,12-09-2019,09:21:32,0.00,800.00,,,1
1000,Tata Steel Limited,52022426,HSM/ERE/RAB/25DN,RA,9600,DNOT,2020,9,29/05/2019,27/12/2019,"34,692.00",INR,"34,692.00",INR,"34,692.00","5,292.00","29,400.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,*Deduction against penalty for Gate Pass Clearance,3800008314,52022426,,3800008314,,2408402,Vendor Reconciliation Account - Domestic,5149106,CAPITAL EXPENSES,5149106,5149106,CAPITAL EXPENSES,0,21,S,,,45207813,30-12-2019,27-12-2019,10:52:30,0.00,"34,692.00",,,1
1000,Tata Steel Limited,42041185,GATEPASS/RFID,KG,9600,DNOT,2020,10,30/01/2020,30/01/2020,"1,100.00",INR,"1,100.00",INR,"1,100.00",167.80,932.20,0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Gatepass/RFID Recovery from Vendor,Gatepas Penalty,42041185,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,92978106,30-01-2020,30-01-2020,09:15:37,0.00,"1,100.00",,,1
1000,Tata Steel Limited,42041545,DD NO-186797,KG,9500,TSER,2020,11,07/02/2020,07/02/2020,400.00,INR,400.00,INR,400.00,61.02,338.98,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,UNION BANK DT 07.02.2019,Gate pass Penalty,42041545,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,93046164,07-02-2020,07-02-2020,15:46:49,0.00,400.00,,,1
1000,Tata Steel Limited,42041546,DD NO-186798,KG,9500,TSER,2020,11,07/02/2020,07/02/2020,200.00,INR,200.00,INR,200.00,30.51,169.49,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,UNION BANK DT 07.02.2019,Gate pass Penalty,42041546,,,,2408402,Vendor Reconciliation Account - Domestic,3265003,MISCELLANEOUS INCOME,,3265003,MISCELLANEOUS INCOME,0,21,S,,,93046166,07-02-2020,07-02-2020,15:49:59,0.00,200.00,,,1
1000,Tata Steel Limited,55635816,51760823,SA,5010,WBKO,2020,12,23-07-2010,01-03-2020,"7,802.46",INR,"7,802.46",INR,0.00,0.00,"7,802.46",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Dummy IV Transfer to UCB GL,Transfer to UCB,V,,,,2408402,Vendor Reconciliation Account - Domestic,2408403,Unadjusted Credit Balance (Vendors),,2408403,Unadjusted Credit Balance (Vendors),0,21,S,,,93385931,28-03-2020,28-03-2020,11:44:15,0.00,"7,802.46",,,1
