,,,,,,,,,,INCOME STATEMENT,,,,,,,,,,,,,,
,,,,,,,,,,BUDGET COMPARISON,,,,,,,,,,,,,,
,,,,,,,,,,"For the Period Ended August 31, 2022",,,,,,,,,,,,,,
SAMPLE ASSET 123,,,,,,,,,,,,,,,,,,,,,,,,
"September 23, 2022",,,,,,,,,,,,,,,,,,,,,,,,
SEP 21,,,,OCT 21,,NOV 21,,DEC 21,,FEB 22,,MAR 22,,APR 22,,MAY 22,,JUN 22,,JUL 22,,AUG 22,,TOTAL
Title,,,,,,,,,,,,,,,,,,,,,,,,
GROSS POTENTIAL RENT,,,,,,,,,,,,,,,,,,,,,,,,
"1,136,392",,,,"1,134,853",,"1,139,371",,"1,139,143",,"1,149,057",,"1,153,638",,"1,159,222",,"1,165,630",,"1,173,358",,"1,183,729",,"1,185,857",,"13,860,065"
68704),,,,"(68,508)",,"(66,934)",,66934),,"(67,149)",,(67237),,67256),,(67197),,(69.756),,(75.482),,"(75,160)",,"827,887"
"1,067,688",,,,"1,066,345",,"1,072,437",,"1,072,209",,"1,081,908",,"1,086,401",,"1,091,966",,"1,098,433",,"1,103,602",,"1,108,247",,"1,110,097",,"13,032,178"
"(18,243)",,,,"(20,115)",,"(42,774)",,"(24,333)",,"(18,481)",,"(12,024)",,"(30,905",,"(30,018)",,"(41,166)",,"(19,754)",,"(20,101)",,"(292,754"
RENT ADJUSTMENTS,,,,,,,,,,263,,"2,700",,,,,,,,,,,,"2,963"
"(6,095)",,,,"(6,170)",,"(6,170)",,"(6,170)",,"(6,581)",,"(6,877)",,"(6,877)",,"(6,877)",,"(6,877)",,"(4,859)",,"(5,391)",,"(75,821"
"(11,412)",,,,"(6,751)",,"1,128",,"56,727",,"(6,390)",,"(21,914)",,"(6,531)",,"33,394",,"(15,663)",,"(23,437)",,"34,003",,"13,889"
"(93,604)",,,,"(72,696)",,"(84,126)",,"(96,790)",,"(103,870)",,"(55,661)",,"(75,423)",,"(83,593)",,"(66,648)",,"(31,568)",,"(12,973)",,"(846,499"
"(3,122)",,,,(367),,"(13,562)",,"1,626",,(684),,"(1,598)",,161,,(813),,(915),,"(1,847)",,"(43,327)",,"(64,770"
68.704,,,,"68,508",,"66,934",,66.934,,"66,970",,67.237,,67.256,,"67,197",,"69,756",,"75,482",,"75,7.60",,"827,887"
"1.003,916",,,,"1,028,754",,"993,867",,"1,070,203",,"1,041.228",,"1,055,564.",,"1,039,325.",,"1,077,723",,"1,042.089",,"1.102,264",,"1,138,068",,"12,597,073"
OTHER INCOME,,,,,,,,,,,,,,,,,,,,,,,,
CREDIT REPORT FEES,,595,,910,,630,,"1,575",,"1,260",,"1,050",,"3,220",,"2,135",,875,,875,,770,,"14,665"
TERMINATION FEE,,"4,985",,,,"6,253",,"1,125",,"5,150",,"8,635",,,,"4,495",,"2,560",,"7,941",,"5,253",,"46,397"
LATE CHARGES COLLEC,,"1,000",,850,,"1,050",,"1,200",,"1,150",,"1,200",,"1,400",,550,,"1,350",,"1,600",,"1,450",,"13,950"
NSF FEE COLLECTED,,75,,25,,,,25,,25,,25,,50,,25,,50,,50,,75,,450
CABLE,,,,,,"3,925",,,,,,"4,281",,,,,,"4,527",,,,,,"12,733"
COLLECTION RECOVERY,,416,,535,,297,,,,,,141,,222,,508,,"1,250",,"1,770",,"3,072",,"12,336"
COMMIS/VENDOR/REIMB,,,,141,,,,380,,21,,31,,,,(305),,,,.354,,,,927
TELEPHONE INCOME,,,,,,,,,,,,,,,,,,,,,,"4,524",,"4,524"
"(5,136)",,,,(209),,"(3,221)",,,,"(8,946)",,"(4,740)",,(269),,(272),,(679),,"(2,931)",,"(1,599)",,"(28,223"
,,"4,425",,"4,422",,"4,416",,"4,397",,"4,392",,"4,425",,"4,410",,"4,425",,"4,492",,"4,333",,"4,425",,"52,987"
"43,866",,,,"43,214",,"43,805",,"41,542",,"42,342",,"47,884",,"48,434",,"49,687",,"49,679",,"45,426",,"47,498",,"549,823"
MISC INCOME,,"7,991",,"7,991",,"7,991",,"7,946",,"8,010",,"8,170",,"8,170",,"8,170",,"8,170",,"8,170",,"8,170",,"96,611"
INTEREST INCOME,,,,100,,103,,101,,104,,51,,,,,,,,,,,,977
THE CROSSING @ MONTAGUE,,,,,,,,,,,,,,,,,,,,,,,,
"58,217",,,,"57,979",,"65,249",,"58,291",,"53,508",,"66,872",,"65,637",,"69,418",,"72,274",,"67,588",,"73,638",,"778,157"
"1,062,133",,,,"1,086,733",,"1,059,116",,"128,494",,110.714,,"122,436",,104.962,,147.141,,"114,363",,169.852,,211.706,,375230
PAYROLL EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN/LABOR,,"3,715",,"5,594",,"3,931",,"3,585",,"3,564",,"3,989",,"6,234",,"4,181",,"4,123",,"4,034",,"4,143",,"51,224"
"17,728",,,,"27,734",,"17,634",,"17,057",,"17,472",,"17,613",,"27,147",,"18,828",,"18,573",,"18,195",,"18,832",,"235,101"
"22,366",,,,"38,038",,"26,056",,"24,317",,"25,507",,"27,588",,"41,145",,"23,131",,"21,697",,"22,477",,"21,943",,"320,460"
GROUNDSKEEPER,,"3,693",,"6,003",,"3,925",,"3,680",,"3,756",,"3,867",,"6,043",,"3,844",,"4,122",,"3,964",,"4,097",,"50,914"
COMMISSIONS,,,,,,"20,035",,,,,,"19,450",,,,"22,000",,,,,,"20,735",,"82,220"
"19,476",,,,"31,721",,"29,348",,"19,942",,"20,623",,"22,284",,"33,839",,"30,233",,"20,376",,"20,441",,"29,295",,"307,812"
,,,,,,,,,,Confidential:,,For Internal Use Only,,,,,,,,,,,,
