,,,,,,,,,,"For the Period Ended August 31, 2022",,,,,,,,,,,,,,,,
SEP 21,,,,OCT 21,,NOV 21,,DEC 21,,JAN 22,,MAR 22,,,,APR 22,,MAY 22,,JUN 22,,JUL 22,,AUG 22,,TOTAL
Title,,,,,,,,,,,,,,,,,,,,,,,,,,
"66,978",,,,"109,090",,"100,929",,"68,581",,"70,922",,"75,341",,,,"114,408",,"102,217",,"68,891",,"69,111",,"99,045",,"1,047,731"
ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,133",,,,"1,375",,911,,"1,602",,"1,296",,673,,,,"1,283",,"1,653",,"1,064",,"1,804",,"1,432",,"16,607"
TRAVEL/MILEAGE,,,,24,,,,16,,,,,,,,42,,231,,,,18,,,,331
COMPUTER SUPPLIES,,"1,255",,247,,584,,"1,014",,664,,247,,,,247,,397,,"1,364",,247,,643,,"7,733"
LEGAL FEES,,75,,263,,,,982,,"3,175",,,,,,910,,555,,,,"1,143",,,,"7,103"
CREDIT REPORTS,,"1,003",,"1,406",,883,,"1,151",,470,,686,,,,733,,"1,246",,"1,086",,729,,748,,"10,611"
LOSS EXPENSE,,"7,248",,,,,,"(2,907)",,,,,,,,,,,,,,,,,,"4,341"
BANK CHARGES/SUPPLI,,311,,343,,297,,"25,390",,319,,306,,,,301,,304,,270,,267,,185,,"28,572"
TRAINING / EDUCATIO,,,,,,281,,,,,,,,,,,,,,,,,,,,281
"3,117",,,,,,,,"7,799",,,,297,,,,"2,229",,,,,,,,,,"13,442"
"42,372",,,,"43,352",,42.702,,42.128,,42.181,,44.790.,,,,44.173,,"45,886",,"44,934",,46.794,,48468,,532.105
"57,514",,,,"47,010",,"45,658",,"77,175",,"48,105",,"46,999",,,,"49,918",,"50,272",,"48,718",,"51,002",,"51,476",,"621,126"
ADVERTISING-PROMOTION,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,130",,,,"2,630",,"2,630",,"1,668",,"2,762",,"4,628",,,,"3,480",,"2,909",,"1,980",,"2,963",,"2,388",,"34,280"
 PROMOTIONAL,,"6,729",,"8,518",,524,,(70),,294,,"1,422",,,,"1,956",,"4,118",,"1,241",,"1,035",,"3,030",,"29,845"
EMPLOYEE RECOGNITIO,,426,,613,,,,"2,369",,,,585,,,,486,,,,77,,,,609,,"6,246"
REFERRALS,,,,,,"2,000",,750,,850,,"1,500",,,,"1,000",,"1,400",,"2,800",,"1,050",,350,,"14,750"
OTHER ADVERTISING,,581,,546,,546,,1.107,,,,562,,,,562,,562,,562,,562,,562,,6.714
"10,866",,,,"12,307",,"5,700",,"5,824",,"3,906",,"10,247",,,,"7,484",,"8,989",,"6,660",,"5,610",,"6,939",,"91,835"
CONTRACT SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,
COURTESY PATROL,,"4,401",,"4,401",,"6,326",,"4,401",,"4,401",,"4,401",,,,"4,401",,"6,326",,"4,401",,"4,401",,"6,326",,"60,512"
PEST CONTROL,,"1,721",,"1,721",,"1,721",,"1,721",,"1,773",,"1,773",,,,"1,773",,"1,773",,"2,368",,"1,773",,"1,773",,"21,663"
CLEANING -SUBCONTRA,,,,,,,,,,"1,250",,"2,760",,,,"5,660",,"5,550",,"5,130",,"6,540",,"2,060",,"31,650"
TEMPORARY LABOR,,,,,,,,,,"3,940",,"3,490",,,,"10,855",,"6,663",,"16,226",,"9,040",,"6,690",,"62,959"
GARDENING,,"6,700",,"6,700",,"6,700",,"6,700",,"7,035",,"7,035",,,,"7,035",,"7,035",,"7,035",,"7,035",,"7,176",,"83,221"
SUBCONTRACTOR-OTHER,,373,,"4,690",,"1,755",,"2,010",,"8,706",,"5,174",,,,2.155,,200,,3.115,,600,,,,28.973
"13,195",,,,"17,512",,"16,502",,"14,832",,"27,105",,"24,633",,,,"31,879",,"27,547",,"38,275",,"29,389",,"24,025",,"288,978"
UTILITY SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,670",,,,"1,988",,"2,405",,"2,750",,844,,"1,865",,,,"5,774",,"1,627",,"1,098",,"1,327",,699,,"23,863"
"7,376",,,,"10,796",,"10,214",,"17,758",,"11,297",,"13,783",,,,"13,443",,"13,237",,"6,265",,"15,695",,"14,927",,"147,172"
"11,019",,,,"8,143",,"8,428",,"8,986",,"8,802",,"9,121",,,,"8,697",,"9,560",,"11,362",,"11,775",,"12,500",,"117,925"
GAS - HOUSE,,593,,"1,333",,"1,978",,"3,015",,"3,254",,"2,224",,,,"1,549",,587,,"1,050",,643,,676,,"19,672"
ELECTRIC - APTS,,344,,522,,50,,810,,31,,178,,,,74,,247,,163,,"1,077",,642,,"4,281"
GAS - APTS,,88,,129,,50,,619,,81,,287,,,,138,,335,,304,,440,,308,,"2,933"
SEWER,,,,"42,532",,,,"42,532",,,,"42,532",,,,"42,532",,,,"41,914",,,,"42,532",,"254,574"
WATER,,,,"52,815",,,,"45,911",,,,"41,056",,,,"59,297",,,,"57,103",,,,"48,893",,"305,075"
VELOCITY,,1.939,,"2,036",,2.036,,"2,036",,"2,036",,2.036,,,,2.036,,2.036,,2.036,,2.036,,2.036,,"24,335"
"23,029",,,,"120,294",,"25,161",,"124,417",,"26,345",,"29,494",,,,"133,540",,"27,629",,"121,295",,"32,993",,"123,213",,"899,830"
