,,,,,,SAMPLE ASSET 123,,,,,,,,,,2:02 pm,,,,,,,,,,
,,,,,,,,,,,,INCOME STATEMENT,,,,,,,,,,,,,,
,,,,,,,,,,,,BUDGET COMPARISON,,,,,,,,,,,,,,
,,,,,,,,,,"For the Period Ended August 31, 2022",,,,,,,,,,,,,,,,
Account,,SEP 21,,OCT 21,,DEC 21,,,,JAN 22,,MAR 22,,,,APR 22,,MAY 22,,JUN 22,,JUL 22,,AUG 22,,TOTAL
Title,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL,,97,,119,,294,,,,102,,190,,,,487,,149,,,,485,,,,"1,923"
PLUMBING,,287,,"1,093",,823,,726,,,,983,,,,"1,526",,"1,053",,"1,210",,957,,"1,358",,"11,089"
ROOF REPAIRS,,,,,,64,,49,,,,,,,,,,,,,,,,,,113
CARPET & FLOORING,,585,,685,,"1,440",,,,185,,"1,015",,,,"1,655",,"3,355",,"2,450",,"1,195",,"1,190",,"14,305"
GENERAL BLDG SUPPLI,,367,,578,,172,,207,,80,,71,,,,98,,726,,'148,,97,,180,,"2,857"
PERSONAL PROTECTION,,271,,,,599,,259,,433,,763,,,,494,,375,,,,,,180,,"3,374"
INTERIOR BLDG SUPPL,,860,,317,,569,,826,,723,,658,,,,608,,287,,"2,593",,304,,157,,"8,734"
LANDSCAPING,,,,,,,,82,,,,,,,,,,,,,,,,,,82
TOOLS & SMALL EQUIP,,87,,18,,63,,114,,34,,135,,,,111,,183,,128,,12,,45,,"1,004"
FIELD UNIFORMS,,,,,,780,,,,75,,,,,,,,154,,,,464,,,,"1,473"
MILEAGE REIMB,,424,,225,,267,,689,,399,,494,,,,731,,98,,662,,182,,86,,"4,758"
MECHANICAL EQUIPMEN,,16,,21,,,,42,,,,,,,,15,,120,,256,,,,261,,731
POOL MAINTENANCE,,480,,480,,480,,480,,495,,495,,,,,,495,,495,,495,,495,,"5,385"
PAINTING,,156,,,,225,,497,,221,,206,,,,283,,85,,61,,144,,70,,"2,124"
JANITORIAL SUPPLIES,,747,,"1,896",,582,,957,,414,,48,,,,"1,164",,738,,280,,"1,957",,187,,"9,752"
 TURNOVER REIMBURSEA,,(25.99),,"(2,659)",,"(1,056)",,,,"(7,582)",,"(3,188)",,,,"(6,400)",,(7.734),,(7028),,(1.671),,(6.246),,(54.489
TOTAL R & M,,"1,778",,"2,773",,"5,312",,,,"(4,421)",,917,,,,772,,84,,"1,255",,"4,621",,"(2,037)",,"13,215"
TTL CONTROLLED EXP.,,"173,360",,"308,986",,"296,141",,,,"171,962",,"187,631",,,,"338,001",,"216,738",,"285,094",,"192,726",,"302,661",,"2,962,715"
FIXED EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE,,"7,170",,"7,169",,"7,175",,,,"7,169",,"7,170",,,,"7,461",,"7,461",,"7,461",,"7,461",,"7,456",,"87,491"
PROPERTY TAXES,,66.379,,"69,524",,69.524,,,,"67,952",,67.952,,,,"67,952",,67.952,,"67,952",,67.952,,"67,952",,"818,567"
TTL FIXED EXP,,"73,549",,"76,693",,"76,699",,,,"75,121",,"75,122",,,,"75,413",,"75,413",,"75,413",,"75,413",,"75,408",,"906,058"
TOTAL EXPENSES,,"246,909",,"385,679",,"372,840",,,,"247,083",,"262,753",,,,"413,414",,"292,151",,"360,507",,"268,139",,"378,069",,"3,868,773"
NET OPERATING INC,,815.224.,,"701,054",,"755,654",,,,"810,497",,"859,683",,,,"691,548",,"854,990",,753.856,,"901,713",,"833,637.",,"9,506,45"
CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,
REFINISHING,,"6,344",,"12,946",,"22,051",,,,"1,100",,"4,017",,,,"17,288",,"20,239",,"42,721",,"36,480",,"20,046",,"197,817"
,,"14,830",,"17,522",,"(22,404)",,,,,,"3,452",,,,"10,751",,"14,413",,"23,528",,"12,355",,"12,806",,"120,454"
COUNTERTOPS/CABINET,,,,,,,,,,,,"9,470",,,,,,,,,,,,,,"9,470"
COUNTERTOPS,,,,,,"(129,393)",,,,,,,,,,,,,,,,,,,,"(129,393"
DRAPERY & BLINDS,,129,,"8,728",,"(1,345)",,,,87,,"4,793",,,,"4,864",,"2,152",,"4,027",,"4,739",,"2,783",,"45,383"
FLOOR COVERINGS,,"5,824",,"14,122",,"(15,724)",,,,"2,960",,"1,655",,,,"7,043",,"15,546",,"11,294",,"10,523",,"(2,320)",,"58,019"
 FLOOR COVERINGS-PAR,,"2,378",,508,,175,,536,,150,,,,,,619,,700,,"1,181",,"2,070",,434,,"8,75"
HVAC,,"31,090",,"21,030",,"19,959",,,,"25,557",,"21,897",,,,"37,272",,"3,672",,"24,838",,"7,343",,,,"239,55"
PEST CONTROL,,,,"1,700",,,,,,"2,175",,,,,,,,,,,,,,295,,"4,17"
ELECTRICAL,,"2,667",,"6,965",,"5,631",,,,"1,332",,"3,467",,,,"3,979",,"11,595",,"2,018",,"3,113",,"11,910",,"68,82"
PLUMBING,,"3,144",,"8,680",,"4,749",,,,"3,658",,"8,415",,,,"9,126",,"1,931",,"2,981",,"3,988",,"1,583",,"60,37"
INTERIOR/EXTERIOR B,,"20,789",,"5,601",,"231,450",,,,"25,026",,"12,292",,,,"19,659",,,,"4,090",,"2,610",,"5,020",,"337,282"
GENERAL/EXT BLDG,,135,,537,,"1,350",,,,,,"2,636",,,,,,,,,,"2,496",,564,,"8,59"
TOOLS & EQUIP,,,,"1,527",,,,55,,"1,560",,170,,,,141,,"1,128",,216,,850,,447,,"8,76"
