,,,,,,,,,,,,SAMPLE ASSET 456,,,,,,,,,,,,,,,,
,,,,,,,,,,Statement (12 months),,,,,,,,,,,,,,,,,,
,,,,,,,,,,Period = Sep 2021-Aug 2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Book = Accrual ; Tree = ysi_cf,,,,,,,,,,,,,,,,,,
,,,,Sep 2021,,Oct 2021,,Nov 2021,,Dec 2021,,Feb 2022,,,,Mar 2022,,Apr 2022,,May 2022,,Jun 2022,,Jul 2022,,Aug 2022,,Total
40000100,,INCOME (EXPENSE),,,,,,,,,,,,,,,,,,,,,,,,,,
40100000,,Operating Income (Expense),,,,,,,,,,,,,,,,,,,,,,,,,,
40100100,, Operating Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
40101000,, Net Rental Income,,,,,,,,,,,,,,,,,,,,,,,,,,
 40101100,,Base rental income,,"1,362,346.17",,"1,362,346.17",,"1,362,346.17",,"1,365,401.45",,"1,366,454.90",,,,"1,366,625.86",,"1,366,625.86",,"1,366,625.86",,"1,366,625.86",,"1,396,443.63",,"1,391,912.07",,"16,440,539.52"
40101300,,Rental concession/rebate,,0.00,,0.00,,0.00,,0.00,,"-12,395.60",,,,"-6,368.76",,0.00,,0.00,,0.00,,0.00,,0.00,,"-18,764.36"
40101995,,Total Net Rental Income,,"1,362,346.17",,"1,362,346.17",,"1,362,346.17",,"1,365,401.45",,"1,354,059.30",,,,"1,360,257.10",,"1,366,625.86",,"1,366,625.86",,"1,366,625.86",,"1,396,443.63",,"1,391,912.07",,"16,421,775.16"
40105000,,Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,,
40105100,,Current Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,,
40105110,,Recoveries CAM,,120.71,,120.71,,120.71,,120.71,,104.21,,,,104.21,,104.21,,104.21,,104.21,,104.21,,104.21,,"1,316.52"
40105120,,Recoveries operating expense,,"106,602.57",,"106,602.57",,"106,602.57",,"-690,588.08",,"69,286.54",,,,"69,286.54",,"69,286.54",,"69,286.54",,"69,286.54",,"69,286.54",,"68,993.38",,"183,218.79"
40105126,,Recoveries real estate tax,,"10,579.94",,"10,579.94",,"10,579.94",,"79,705.49",,"11,961.15",,,,"11,961.15",,"11,961.15",,"11,961.15",,"11,961.15",,"11,961.15",,"11,895.91",,"207,069.27"
40105128,,Recoveries water & sewer,,400.00,,400.00,,400.00,,400.00,,400.00,,,,400.00,,400.00,,0.00,,0.00,,0.00,,0.00,,"3,200.00"
