"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"7cf626cd-dcad-4258-9b05-6dcccdadaef9",QLDB,"17Capital Fund VI (TBD)",1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b7bc39c5-833e-41e6-8716-e5e078c866be,Metachain,"Hellman & Friedman Capital Partners XI, L.P.",25
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"3e99b57e-f5a0-4e85-a6bb-43c82eba9d5e",Metachain,Tiger Growth Equity XVI,32
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"95fba225-4260-469f-97fa-428227e6f62b",QLDB,Bridgepoint Equity VII ,159
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0a066639-e7bd-48c0-8464-226e4e89c057",QLDB,"ZZZPIMCO Specialty Finance Income Fund Onshore Feeder, L.P.",5
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"521142b5-a7ea-45b9-8052-1aed97142503",QLDB,"L Catterton X, L.P.",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f6b60295-dea4-4095-ad13-91cf91ee066b,Metachain,Barings EPLF IV,49
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8083b6f3-2ef0-49bf-b589-d314572ad885",QLDB,PAI Partners VIII-1 Global SCSp,8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b66d93de-611f-4b23-86c3-dad509b8b253,Metachain,"Platinum Equity Capital Partners VI, L.P.",134
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"77a941d0-a455-4331-87e1-2e9356adf9f0",QLDB,"H.I.G. Advantage Buyout Fund II, L.P.",8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a865b97a-8a21-43d5-9b5b-0d4582ce5a89,Metachain,AEA Investors Fund VIII LP,62
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"94d36be8-4ecc-4d43-bdf3-1efc089dd93f",Metachain,"Blue Owl Diversified Lending 2020 Fund, L.P.",64
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1731feda-344a-4979-b138-a1f08e8e5967",Metachain,"Ares Infrastructure Debt Fund VI (USD U), LP",76
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0f29e43b-3940-4aff-b84a-b249cf6a879c",QLDB,"Partners Group Direct Equity V (USD) C-I, L.P.",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"6643a032-0421-438d-986b-e777c766858c",Metachain,Apax Fund XI,8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8083b6f3-2ef0-49bf-b589-d314572ad885",QLDB,PAI Partners Europe VIII ,157
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0988d9ed-01b3-49c7-8141-4974ff2c3c2d",QLDB,"H.I.G. Middle Market LBO Fund IV, L.P.",17
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f12499ba-77c1-4a69-a732-015a454c3b8a,QLDB,"New Mountain Partners VII, L.P.",5
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a8f090f6-9e10-4ad1-9cc0-44e4e89e3476,QLDB,"Churchill Middle Market Senior Loan Fund - Luxembourg SCSp, SICAV-RAIF",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b2d52417-ae4c-4ae9-ad48-48b3859afe13,Metachain,"Fortress Credit Opportunities Fund VI (A), LP",44
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"90acc6c3-5ddf-4371-bf85-f9dd9001e1e9",Metachain,BSP Debt Fund  V Unlevered (Non US) L.P.,83
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e1fbb8b8-ee3e-4f48-8812-87542a4a5657,QLDB,EQT Partners Fund X,227
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"504e13ae-9196-4891-a652-279ae97e2353",QLDB,Golub Capital Direct Lending Unlevered Corporation,12
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,c2ef6d1e-0384-4f63-b4c9-7ff28e2a4958,QLDB,Blackstone European Senior Debt Fund III SCSp,4
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"521142b5-a7ea-45b9-8052-1aed97142503",Metachain,"L Catterton X, L.P.",57
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"182a4475-19dc-420b-819c-6c7f21466ae7",Metachain,Investindustrial VIII SCSp_24PE50,62
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"419055eb-a79f-4876-9878-ff51e99b2137",QLDB,Crescent European Specialty Lending Fund III (Delaware) LP,7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"507eb91d-b169-476e-a4cf-208b09717c1c",Metachain,Arcmont-Direct Lending Fund IV (USD-L) SLP,63
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b042866f-35cb-4f4d-82ea-3358b035574f,QLDB,HPS European Asset Value 3,3
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"36855d59-5078-4dbd-a6b3-d28d6289ed38",QLDB,Insight Fund XIII,122
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,fb2292be-47cd-42bd-b1ca-1f7f393fd929,Metachain,LSF XII ,6
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9797973e-3e6c-491d-89b9-bbb78f16f078",QLDB,Silverlake VII,119
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"255e07a5-df57-45f9-b3b7-420fc7b84a27",Metachain,"TPG Rise Climate II, L.P._24PE50",18
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"404bb42d-5d70-4d26-85a9-d01963f11e45",QLDB,The Jordan Company Resolute Fund VI,2
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a69185e6-265c-444f-a28e-232e5abf1306,QLDB,"TA XV-A, LP",169
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0cafe15a-7eff-4816-9d79-99660f160ee5",QLDB,"NewVest Vintage 2023 Aggregator (PE 50), LP",8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1b999d68-b747-4d49-bca2-97ea8dcfd24e",QLDB,PIMCOS Specialty Finance Income Fund (SpecFIn),1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0ca2d3c4-52a1-40f6-a8aa-55434944f2e3",QLDB,"HPS Specialty Loan International Fund VI, SCSp",8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"2598d3fc-3560-4913-9e0c-ee6d6b704e8c",Metachain,"Levine Leichtman Capital Partners VII, L.P._24PE50",80
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a217639f-77b8-473d-b24e-a45505adfcaa,Metachain,Blackstone Energy Transition Partners IV L.P._24PE50_,127
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e1fbb8b8-ee3e-4f48-8812-87542a4a5657,Metachain,EQT Partners Fund X,186
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"98cb8a0d-5eeb-4810-abee-29398c48ad62",QLDB,Fortress Credit Opportunities Fund VI (A) LP_24PE50,1
